execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	female	1	bipolar_disorder_control_case	1	logistic	testosterone_female	1	1	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	steroid_globulin_female	2	2	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	testosterone_male	3	3	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	steroid_globulin_male	4	4	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	testosterone_female	5	5	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	steroid_globulin_female	6	6	unadjust	marginal	unadjust marginal
1	male	2	bipolar_type_1_control_case	2	logistic	testosterone_male	7	7	unadjust	marginal	unadjust marginal
1	male	2	bipolar_type_1_control_case	2	logistic	steroid_globulin_male	8	8	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_2_control_case	3	logistic	testosterone_female	9	9	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_2_control_case	3	logistic	steroid_globulin_female	10	10	unadjust	marginal	unadjust marginal
1	male	2	bipolar_type_2_control_case	3	logistic	testosterone_male	11	11	unadjust	marginal	unadjust marginal
1	male	2	bipolar_type_2_control_case	3	logistic	steroid_globulin_male	12	12	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_type_1_2	4	logistic	testosterone_female	13	13	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_type_1_2	4	logistic	steroid_globulin_female	14	14	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_type_1_2	4	logistic	testosterone_male	15	15	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_type_1_2	4	logistic	steroid_globulin_male	16	16	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	3	rapid_cycling	5	logistic	testosterone_female	17	17	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	3	rapid_cycling	5	logistic	steroid_globulin_female	18	18	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	4	rapid_cycling	5	logistic	testosterone_male	19	19	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	4	rapid_cycling	5	logistic	steroid_globulin_male	20	20	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_1	5	rapid_cycling	5	logistic	testosterone_female	21	21	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_1	5	rapid_cycling	5	logistic	steroid_globulin_female	22	22	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	6	rapid_cycling	5	logistic	testosterone_female	23	23	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder_2	6	rapid_cycling	5	logistic	steroid_globulin_female	24	24	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_1	7	rapid_cycling	5	logistic	testosterone_male	25	25	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_1	7	rapid_cycling	5	logistic	steroid_globulin_male	26	26	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_2	8	rapid_cycling	5	logistic	testosterone_male	27	27	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder_2	8	rapid_cycling	5	logistic	steroid_globulin_male	28	28	unadjust	marginal	unadjust marginal
0	female	1	testosterone_female	6	linear	bipolar_disorder_control_case	29	29	unadjust	marginal	unadjust marginal
0	female	1	testosterone_female	6	linear	bipolar_disorder_type_1_2	30	30	unadjust	marginal	unadjust marginal
0	female_bipolar_disorder	3	testosterone_female	6	linear	rapid_cycling	31	31	unadjust	marginal	unadjust marginal
0	female_bipolar_disorder_1	5	testosterone_female	6	linear	rapid_cycling	32	32	unadjust	marginal	unadjust marginal
0	female_bipolar_disorder_2	6	testosterone_female	6	linear	rapid_cycling	33	33	unadjust	marginal	unadjust marginal
0	male	2	testosterone_male	7	linear	bipolar_disorder_control_case	34	34	unadjust	marginal	unadjust marginal
0	male	2	testosterone_male	7	linear	bipolar_disorder_type_1_2	35	35	unadjust	marginal	unadjust marginal
0	male_bipolar_disorder	4	testosterone_male	7	linear	rapid_cycling	36	36	unadjust	marginal	unadjust marginal
0	male_bipolar_disorder_1	7	testosterone_male	7	linear	rapid_cycling	37	37	unadjust	marginal	unadjust marginal
0	male_bipolar_disorder_2	8	testosterone_male	7	linear	rapid_cycling	38	38	unadjust	marginal	unadjust marginal
0	female	1	steroid_globulin_female	8	linear	bipolar_disorder_control_case	39	39	unadjust	marginal	unadjust marginal
0	female	1	steroid_globulin_female	8	linear	bipolar_disorder_type_1_2	40	40	unadjust	marginal	unadjust marginal
0	female_bipolar_disorder	3	steroid_globulin_female	8	linear	rapid_cycling	41	41	unadjust	marginal	unadjust marginal
0	female_bipolar_disorder_1	5	steroid_globulin_female	8	linear	rapid_cycling	42	42	unadjust	marginal	unadjust marginal
0	female_bipolar_disorder_2	6	steroid_globulin_female	8	linear	rapid_cycling	43	43	unadjust	marginal	unadjust marginal
0	male	2	steroid_globulin_male	9	linear	bipolar_disorder_control_case	44	44	unadjust	marginal	unadjust marginal
0	male	2	steroid_globulin_male	9	linear	bipolar_disorder_type_1_2	45	45	unadjust	marginal	unadjust marginal
0	male_bipolar_disorder	4	steroid_globulin_male	9	linear	rapid_cycling	46	46	unadjust	marginal	unadjust marginal
0	male_bipolar_disorder_1	7	steroid_globulin_male	9	linear	rapid_cycling	47	47	unadjust	marginal	unadjust marginal
0	male_bipolar_disorder_2	8	steroid_globulin_male	9	linear	rapid_cycling	48	48	unadjust	marginal	unadjust marginal
