execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_female_premenopause_adjust	1	1	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_female_premenopause_unadjust	2	2	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_detection_female_premenopause_adjust	3	3	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_detection_female_premenopause_unadjust	4	4	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_female_perimenopause_adjust	5	5	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_female_perimenopause_unadjust	6	6	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_detection_female_perimenopause_adjust	7	7	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_detection_female_perimenopause_unadjust	8	8	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_bioavailable_female_premenopause_adjust	9	9	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_bioavailable_female_premenopause_unadjust	10	10	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_free_female_premenopause_adjust	11	11	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_free_female_premenopause_unadjust	12	12	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_testosterone_female_premenopause_adjust	13	13	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_testosterone_bioavailable_female_premenopause_adjust	14	14	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_testosterone_free_female_premenopause_adjust	15	15	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_shbg_female_premenopause_adjust	16	16	unadjust	marginal	unadjust marginal
1	female	1	bipolar_disorder_control_case	1	logistic	tcw_ukb_albumin_female_premenopause_adjust	17	17	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_detection_male_age_low_adjust	1	1	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_bioavailable_male_age_low_adjust	2	2	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	tcw_ukb_estradiol_free_male_age_low_adjust	3	3	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	tcw_ukb_testosterone_male_age_low_adjust	4	4	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	tcw_ukb_testosterone_bioavailable_male_age_low_adjust	5	5	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	tcw_ukb_testosterone_free_male_age_low_adjust	6	6	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	tcw_ukb_shbg_male_age_low_adjust	7	7	unadjust	marginal	unadjust marginal
1	male	2	bipolar_disorder_control_case	1	logistic	tcw_ukb_albumin_male_age_low_adjust	8	8	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_female_premenopause_adjust	1	1	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_female_premenopause_unadjust	2	2	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_detection_female_premenopause_adjust	3	3	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_detection_female_premenopause_unadjust	4	4	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_female_perimenopause_adjust	5	5	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_female_perimenopause_unadjust	6	6	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_detection_female_perimenopause_adjust	7	7	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_detection_female_perimenopause_unadjust	8	8	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_bioavailable_female_premenopause_adjust	9	9	unadjust	marginal	unadjust marginal
1	female	1	bipolar_type_1_control_case	2	logistic	tcw_ukb_estradiol_bioavailable_female_premenopause_unadjust	10	10	unadjust	marginal	unadjust marginal
