execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	female	1	tcw_ukb_estradiol_detection_female_adjust	1	linear	bipolar_type_1_control_case	1	1	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_detection_female_unadjust	1	linear	bipolar_type_1_control_case	2	2	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_detection_female_premenopause_adjust	1	linear	bipolar_type_1_control_case	3	3	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_detection_female_premenopause_unadjust	1	linear	bipolar_type_1_control_case	4	4	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_female_premenopause_adjust	1	linear	bipolar_type_1_control_case	5	5	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_female_premenopause_unadjust	1	linear	bipolar_type_1_control_case	6	6	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_bioavailable_female_adjust	1	linear	bipolar_type_1_control_case	7	7	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_bioavailable_female_unadjust	1	linear	bipolar_type_1_control_case	8	8	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_bioavailable_female_premenopause_adjust	1	linear	bipolar_type_1_control_case	9	9	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_bioavailable_female_premenopause_unadjust	1	linear	bipolar_type_1_control_case	10	10	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_free_female_adjust	1	linear	bipolar_type_1_control_case	11	11	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_free_female_unadjust	1	linear	bipolar_type_1_control_case	12	12	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_free_female_premenopause_adjust	1	linear	bipolar_type_1_control_case	13	13	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_estradiol_free_female_premenopause_unadjust	1	linear	bipolar_type_1_control_case	14	14	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_female_adjust	1	linear	bipolar_type_1_control_case	15	15	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_female_unadjust	1	linear	bipolar_type_1_control_case	16	16	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_female_premenopause_adjust	1	linear	bipolar_type_1_control_case	17	17	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_female_premenopause_unadjust	1	linear	bipolar_type_1_control_case	18	18	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_bioavailable_female_adjust	1	linear	bipolar_type_1_control_case	19	19	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_bioavailable_female_unadjust	1	linear	bipolar_type_1_control_case	20	20	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_bioavailable_female_premenopause_adjust	1	linear	bipolar_type_1_control_case	21	21	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_bioavailable_female_premenopause_unadjust	1	linear	bipolar_type_1_control_case	22	22	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_free_female_adjust	1	linear	bipolar_type_1_control_case	23	23	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_free_female_unadjust	1	linear	bipolar_type_1_control_case	24	24	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_free_female_premenopause_adjust	1	linear	bipolar_type_1_control_case	25	25	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_testosterone_free_female_premenopause_unadjust	1	linear	bipolar_type_1_control_case	26	26	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_shbg_female_adjust	1	linear	bipolar_type_1_control_case	27	27	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_shbg_female_unadjust	1	linear	bipolar_type_1_control_case	28	28	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_shbg_female_premenopause_adjust	1	linear	bipolar_type_1_control_case	29	29	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_shbg_female_premenopause_unadjust	1	linear	bipolar_type_1_control_case	30	30	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_albumin_female_adjust	1	linear	bipolar_type_1_control_case	31	31	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_albumin_female_unadjust	1	linear	bipolar_type_1_control_case	32	32	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_albumin_female_premenopause_adjust	1	linear	bipolar_type_1_control_case	33	33	unadjust	marginal	unadjust marginal
1	female	1	tcw_ukb_albumin_female_premenopause_unadjust	1	linear	bipolar_type_1_control_case	34	34	unadjust	marginal	unadjust marginal
1	male	1	tcw_ukb_estradiol_detection_male_adjust	1	linear	bipolar_type_1_control_case	1	1	unadjust	marginal	unadjust marginal
1	male	1	tcw_ukb_estradiol_detection_male_unadjust	1	linear	bipolar_type_1_control_case	2	2	unadjust	marginal	unadjust marginal
1	male	1	tcw_ukb_estradiol_detection_male_age_low_adjust	1	linear	bipolar_type_1_control_case	3	3	unadjust	marginal	unadjust marginal
1	male	1	tcw_ukb_estradiol_detection_male_age_low_unadjust	1	linear	bipolar_type_1_control_case	4	4	unadjust	marginal	unadjust marginal
1	male	1	tcw_ukb_estradiol_bioavailable_male_adjust	1	linear	bipolar_type_1_control_case	5	5	unadjust	marginal	unadjust marginal
1	male	1	tcw_ukb_estradiol_bioavailable_male_unadjust	1	linear	bipolar_type_1_control_case	6	6	unadjust	marginal	unadjust marginal
1	male	1	tcw_ukb_estradiol_bioavailable_male_age_low_adjust	1	linear	bipolar_type_1_control_case	7	7	unadjust	marginal	unadjust marginal
1	male	1	tcw_ukb_estradiol_bioavailable_male_age_low_unadjust	1	linear	bipolar_type_1_control_case	8	8	unadjust	marginal	unadjust marginal
1	male	1	tcw_ukb_estradiol_free_male_adjust	1	linear	bipolar_type_1_control_case	9	9	unadjust	marginal	unadjust marginal
