execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_female_adjust;age;body	1	1	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_female_unadjust;age;body	2	2	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_female_premenopause_adjust;age;body	3	3	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_female_premenopause_unadjust;age;body	4	4	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_female_premenopause_adjust;age;body	5	5	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_female_premenopause_unadjust;age;body	6	6	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_female_adjust;age;body	7	7	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_female_unadjust;age;body	8	8	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_female_premenopause_adjust;age;body	9	9	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_female_premenopause_unadjust;age;body	10	10	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_female_adjust;age;body	11	11	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_female_unadjust;age;body	12	12	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_female_premenopause_adjust;age;body	13	13	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_free_female_premenopause_unadjust;age;body	14	14	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_female_adjust;age;body	15	15	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_female_unadjust;age;body	16	16	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_female_premenopause_adjust;age;body	17	17	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_female_premenopause_unadjust;age;body	18	18	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_female_adjust;age;body	19	19	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_female_unadjust;age;body	20	20	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_female_premenopause_adjust;age;body	21	21	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_female_premenopause_unadjust;age;body	22	22	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_adjust;age;body	23	23	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_unadjust;age;body	24	24	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_premenopause_adjust;age;body	25	25	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_female_premenopause_unadjust;age;body	26	26	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_adjust;age;body	27	27	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_unadjust;age;body	28	28	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_premenopause_adjust;age;body	29	29	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_female_premenopause_unadjust;age;body	30	30	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_adjust;age;body	31	31	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_unadjust;age;body	32	32	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_premenopause_adjust;age;body	33	33	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_premenopause_unadjust;age;body	34	34	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_adjust;age;body	1	1	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_unadjust;age;body	2	2	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_low_adjust;age;body	3	3	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_low_unadjust;age;body	4	4	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_adjust;age;body	5	5	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_unadjust;age;body	6	6	unadjust	marginal	unadjust marginal
